state,survey_year,dataset_version,component_key,component_label,value,provenance_type,review_required,evidence_scope,source_title,source_url,source_publication_year,source_value_note,derivation_method,technologies,original_mock_value,mock_default_method,notes
Texas,2000,BC_Analysis_Default_v1,bc_existing_mobility_benefit,Existing Mobility Benefit,13994500,Exact_Dataset,false,Houston TranStar project-level annual mobility benefits; not a statewide total,Estimation of Benefits of Houston TranStar,https://www.itskrs.its.dot.gov/2000-b00014,1997,$8.440 million annual incident-management delay savings plus $5.5545 million annual ramp-metering delay savings.,"Summed the two non-overlapping annual mobility-benefit values reported in the ITS JPO record: $8,440,000 + $5,554,500.",Traffic incident management; Ramp metering; Transportation management center operations; Traffic surveillance,8000000,Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Historical Houston deployment result represented in the 2000 row because the ITS JPO database record was posted in 2000.
Texas,2000,BC_Analysis_Default_v1,bc_existing_safety_benefit,Existing Safety Benefit,5000000,Mock_Default,true,State-year model baseline; no matching authorized monetary record verified,Legacy bc_baseline_mock_v1 supported by ITS JPO Benefits/Costs databases,https://www.itskrs.its.dot.gov/benefits,,"Mock_Default value carried forward: $5,000,000.",Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Traffic incident management; Work-zone ITS and queue warning; Speed management,5000000,Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Early ITS operations baseline with conservative mobility and safety monetization.
Texas,2000,BC_Analysis_Default_v1,bc_existing_environment_benefit,Existing Environmental Benefit,400000,Mock_Default,true,State-year model baseline; no matching authorized monetary record verified,Legacy bc_baseline_mock_v1 supported by ITS JPO Benefits/Costs databases,https://www.itskrs.its.dot.gov/benefits,,"Mock_Default value carried forward: $400,000.",Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Traffic signal control; Ramp metering; Traffic management center operations,400000,Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Early ITS operations baseline with conservative mobility and safety monetization.
Texas,2000,BC_Analysis_Default_v1,bc_new_mobility_benefit,New Mobility Benefit,1200000,Mock_Default,true,State-year model baseline; no matching authorized monetary record verified,Legacy bc_baseline_mock_v1 supported by ITS JPO Benefits/Costs databases,https://www.itskrs.its.dot.gov/benefits,,"Mock_Default value carried forward: $1,200,000.",Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Adaptive traffic signal control; Traveler information systems; Active traffic management,1200000,Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Early ITS operations baseline with conservative mobility and safety monetization.
Texas,2000,BC_Analysis_Default_v1,bc_new_safety_benefit,New Safety Benefit,900000,Mock_Default,true,State-year model baseline; no matching authorized monetary record verified,Legacy bc_baseline_mock_v1 supported by ITS JPO Benefits/Costs databases,https://www.itskrs.its.dot.gov/benefits,,"Mock_Default value carried forward: $900,000.",Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Work-zone ITS and queue warning; Variable speed limits; Emergency vehicle preemption,900000,Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Early ITS operations baseline with conservative mobility and safety monetization.
Texas,2000,BC_Analysis_Default_v1,bc_new_environment_benefit,New Environmental Benefit,60000,Mock_Default,true,State-year model baseline; no matching authorized monetary record verified,Legacy bc_baseline_mock_v1 supported by ITS JPO Benefits/Costs databases,https://www.itskrs.its.dot.gov/benefits,,"Mock_Default value carried forward: $60,000.",Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Adaptive traffic signal control; Speed harmonization; Connected-vehicle applications,60000,Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Early ITS operations baseline with conservative mobility and safety monetization.
Texas,2000,BC_Analysis_Default_v1,bc_existing_om_cost_total,Existing ITS O&M Cost,6500000,Mock_Default,true,State-year model baseline; no matching authorized monetary record verified,Legacy bc_baseline_mock_v1 supported by ITS JPO Benefits/Costs databases,https://www.itskrs.its.dot.gov/costs,,"Mock_Default value carried forward: $6,500,000.",Retained from bc_baseline_mock_v1. The legacy value scaled ITS JPO sample unit costs and cost ranges using assumed deployment quantities and annual growth; it is not an agency expenditure record.,Traffic management centers; ITS field devices; Communications systems; Traffic signal systems,6500000,Retained from bc_baseline_mock_v1. The legacy value scaled ITS JPO sample unit costs and cost ranges using assumed deployment quantities and annual growth; it is not an agency expenditure record.,Early ITS operations baseline with conservative mobility and safety monetization.
Texas,2000,BC_Analysis_Default_v1,bc_new_cost_total,New ITS Deployment Cost,3500000,Mock_Default,true,State-year model baseline; no matching authorized monetary record verified,Legacy bc_baseline_mock_v1 supported by ITS JPO Benefits/Costs databases,https://www.itskrs.its.dot.gov/costs,,"Mock_Default value carried forward: $3,500,000.",Retained from bc_baseline_mock_v1. The legacy value scaled ITS JPO sample unit costs and cost ranges using assumed deployment quantities and annual growth; it is not an agency expenditure record.,Traffic signal systems; Detection and surveillance; Dynamic message signs; Work-zone ITS,3500000,Retained from bc_baseline_mock_v1. The legacy value scaled ITS JPO sample unit costs and cost ranges using assumed deployment quantities and annual growth; it is not an agency expenditure record.,Early ITS operations baseline with conservative mobility and safety monetization.
Texas,2001,BC_Analysis_Default_v1,bc_existing_mobility_benefit,Existing Mobility Benefit,8600000,Mock_Default,true,State-year model baseline; no matching authorized monetary record verified,Legacy bc_baseline_mock_v1 supported by ITS JPO Benefits/Costs databases,https://www.itskrs.its.dot.gov/benefits,,"Mock_Default value carried forward: $8,600,000.",Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Traffic signal control; Traffic incident management; Traveler information systems,8600000,Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Incremental growth reflects expanded urban ITS coverage and annual O&M growth.
Texas,2001,BC_Analysis_Default_v1,bc_existing_safety_benefit,Existing Safety Benefit,5400000,Mock_Default,true,State-year model baseline; no matching authorized monetary record verified,Legacy bc_baseline_mock_v1 supported by ITS JPO Benefits/Costs databases,https://www.itskrs.its.dot.gov/benefits,,"Mock_Default value carried forward: $5,400,000.",Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Traffic incident management; Work-zone ITS and queue warning; Speed management,5400000,Retained from bc_baseline_mock_v1. The legacy value modeled annual benefit growth from comparable ITS JPO findings using assumed deployment exposure; it is not a measured state-year benefit.,Incremental growth reflects expanded urban ITS coverage and annual O&M growth.
